
Triangle,0,20
,20,0
Time,Sx,Sy,V,EdgeSx,EdgeSy,EdgeW,Ep,Ek,Ec
1.41,4.785,16.629,6.559,3.787, 16.684,6.559,163.132,21.511,184.643
1.42,4.832,16.583,6.602,3.839, 16.703,6.602,162.675,21.794,184.469
1.43,4.878,16.536,6.645,3.896, 16.721,6.645,162.216,22.078,184.294
1.44,4.926,16.489,6.688,3.958, 16.739,6.688,161.753,22.364,184.117
1.45,4.973,16.441,6.731,4.024, 16.756,6.731,161.288,22.651,183.939
1.46,5.021,16.393,6.774,4.095, 16.772,6.774,160.819,22.940,183.760
1.47,5.069,16.345,6.816,4.171, 16.786,6.816,160.348,23.231,183.579
1.48,5.117,16.297,6.859,4.252, 16.798,6.859,159.874,23.523,183.397
1.49,5.166,16.248,6.902,4.337, 16.807,6.902,159.397,23.816,183.213
1.50,5.215,16.199,6.944,4.426, 16.814,6.944,158.916,24.111,183.028
1.51,5.264,16.150,6.987,4.520, 16.819,6.987,158.433,24.408,182.841
1.52,5.314,16.101,7.029,4.618, 16.819,7.029,157.947,24.706,182.653
1.53,5.363,16.051,7.072,4.721, 16.817,7.072,157.458,25.006,182.464
1.54,5.414,16.001,7.114,4.827, 16.810,7.114,156.966,25.307,182.273
1.55,5.464,15.950,7.157,4.936, 16.800,7.157,156.471,25.610,182.080
1.56,5.515,15.899,7.199,5.049, 16.785,7.199,155.973,25.914,181.887
1.57,5.566,15.848,7.241,5.166, 16.765,7.241,155.472,26.219,181.691
1.58,5.617,15.797,7.284,5.284, 16.740,7.284,154.968,26.526,181.495
1.59,5.669,15.745,7.326,5.406, 16.710,7.326,154.462,26.835,181.297
1.60,5.721,15.693,7.368,5.529, 16.675,7.368,153.952,27.145,181.097
1.61,5.773,15.641,7.410,5.655, 16.634,7.410,153.439,27.457,180.896
1.62,5.826,15.589,7.452,5.781, 16.588,7.452,152.924,27.770,180.693
1.63,5.878,15.536,7.495,5.909, 16.535,7.495,152.406,28.084,180.490
1.64,5.932,15.483,7.537,6.037, 16.477,7.537,151.884,28.400,180.284
1.65,5.985,15.429,7.579,6.165, 16.413,7.579,151.360,28.717,180.077
1.66,6.039,15.375,7.620,6.293, 16.343,7.620,150.833,29.036,179.869
1.67,6.093,15.321,7.662,6.420, 16.266,7.662,150.303,29.356,179.659
1.68,6.147,15.267,7.704,6.546, 16.184,7.704,149.770,29.678,179.448
1.69,6.202,15.212,7.746,6.670, 16.096,7.746,149.234,30.001,179.235
1.70,6.257,15.158,7.788,6.792, 16.002,7.788,148.695,30.325,179.021
1.71,6.312,15.102,7.830,6.912, 15.902,7.830,148.153,30.651,178.805
