
Triangle,0,20
,20,0
Time,Sx,Sy,V,EdgeSx,EdgeSy,EdgeW,Ep,Ek,Ec
3.14,14.596,6.819,11.246,14.389, 7.797,11.246,66.891,63.239,130.130
3.15,14.675,6.739,11.277,14.580, 7.734,11.277,66.110,63.581,129.691
3.16,14.755,6.659,11.307,14.772, 7.659,11.307,65.326,63.924,129.250
3.17,14.835,6.579,11.337,14.965, 7.571,11.337,64.541,64.267,128.808
3.18,14.915,6.499,11.368,15.157, 7.469,11.368,63.753,64.610,128.364
3.19,14.996,6.418,11.398,15.346, 7.355,11.398,62.964,64.954,127.918
3.20,15.077,6.338,11.428,15.531, 7.228,11.428,62.172,65.299,127.471
3.21,15.158,6.257,11.458,15.711, 7.090,11.458,61.378,65.645,127.023
3.22,15.239,6.176,11.488,15.884, 6.940,11.488,60.582,65.990,126.573
3.23,15.320,6.094,11.518,16.048, 6.779,11.518,59.785,66.337,126.121
3.24,15.402,6.013,11.548,16.204, 6.609,11.548,58.984,66.684,125.668
3.25,15.483,5.931,11.579,16.349, 6.431,11.579,58.182,67.031,125.214
3.26,15.565,5.849,11.609,16.483, 6.245,11.609,57.378,67.380,124.758
3.27,15.647,5.767,11.639,16.605, 6.054,11.639,56.572,67.728,124.300
3.28,15.730,5.684,11.669,16.715, 5.858,11.669,55.763,68.077,123.841
3.29,15.812,5.602,11.698,16.811, 5.660,11.698,54.953,68.427,123.380
3.30,15.895,5.519,11.728,16.894, 5.460,11.728,54.140,68.778,122.918
3.31,15.978,5.436,11.758,16.963, 5.260,11.758,53.326,69.128,122.454
3.32,16.062,5.353,11.788,17.019, 5.063,11.788,52.509,69.480,121.989
3.33,16.145,5.269,11.818,17.061, 4.869,11.818,51.690,69.832,121.522
3.34,16.229,5.185,11.848,17.091, 4.679,11.848,50.870,70.184,121.054
3.35,16.313,5.102,11.877,17.109, 4.497,11.877,50.047,70.537,120.584
3.36,16.397,5.018,11.907,17.116, 4.323,11.907,49.222,70.891,120.113
3.37,16.481,4.933,11.937,17.113, 4.158,11.937,48.395,71.245,119.640
3.38,16.566,4.849,11.967,17.100, 4.004,11.967,47.566,71.599,119.165
3.39,16.650,4.764,11.996,17.080, 3.861,11.996,46.735,71.954,118.689
3.40,16.735,4.679,12.026,17.054, 3.731,12.026,45.901,72.310,118.212
3.41,16.820,4.594,12.055,17.023, 3.615,12.055,45.066,72.666,117.733
3.42,16.906,4.509,12.085,16.989, 3.512,12.085,44.229,73.023,117.252
3.43,16.991,4.423,12.114,16.953, 3.424,12.114,43.390,73.380,116.770
3.44,17.077,4.337,12.144,16.918, 3.350,12.144,42.548,73.738,116.286
3.45,17.163,4.251,12.173,16.886, 3.290,12.173,41.705,74.096,115.801
3.46,17.249,4.165,12.203,16.857, 3.245,12.203,40.859,74.455,115.314
3.47,17.336,4.079,12.232,16.834, 3.213,12.232,40.012,74.814,114.826
3.48,17.422,3.992,12.262,16.819, 3.194,12.262,39.162,75.174,114.336
3.49,17.509,3.905,12.291,16.813, 3.188,12.291,38.311,75.534,113.845
3.50,17.596,3.818,12.320,16.817, 3.191,12.320,37.457,75.895,113.352
3.51,17.683,3.731,12.350,16.833, 3.205,12.350,36.602,76.256,112.858
3.52,17.771,3.644,12.379,16.862, 3.226,12.379,35.744,76.618,112.362
3.53,17.858,3.556,12.408,16.905, 3.254,12.408,34.884,76.980,111.864
3.54,17.946,3.468,12.437,16.963, 3.287,12.437,34.022,77.343,111.365
3.55,18.034,3.380,12.466,17.036, 3.322,12.466,33.159,77.706,110.865
3.56,18.122,3.292,12.496,17.125, 3.359,12.496,32.293,78.069,110.362
3.57,18.211,3.203,12.525,17.229, 3.394,12.525,31.425,78.434,109.859
3.58,18.299,3.115,12.554,17.349, 3.427,12.554,30.555,78.798,109.354
3.59,18.388,3.026,12.583,17.485, 3.455,12.583,29.684,79.163,108.847
3.60,18.477,2.937,12.612,17.635, 3.476,12.612,28.810,79.529,108.339
3.61,18.567,2.847,12.641,17.799, 3.488,12.641,27.934,79.895,107.829
3.62,18.656,2.758,12.670,17.975, 3.490,12.670,27.056,80.262,107.318
3.63,18.746,2.668,12.699,18.163, 3.481,12.699,26.176,80.629,106.805
3.64,18.836,2.578,12.728,18.361, 3.458,12.728,25.294,80.996,106.290
3.65,18.926,2.488,12.757,18.567, 3.422,12.757,24.410,81.364,105.775
3.66,19.016,2.398,12.785,18.779, 3.369,12.785,23.524,81.733,105.257
3.67,19.107,2.308,12.814,18.995, 3.301,12.814,22.637,82.102,104.738
3.68,19.197,2.217,12.843,19.214, 3.217,12.843,21.747,82.471,104.218
3.69,19.288,2.126,12.872,19.433, 3.115,12.872,20.855,82.841,103.696
3.70,19.379,2.035,12.900,19.650, 2.997,12.900,19.961,83.211,103.172
3.71,19.471,1.943,12.929,19.863, 2.863,12.929,19.065,83.582,102.647
3.72,19.562,1.852,12.958,20.070, 2.713,12.958,18.167,83.953,102.120
3.73,19.654,1.760,12.986,20.269, 2.549,12.986,17.267,84.325,101.592
3.74,19.746,1.668,13.015,20.458, 2.370,13.015,16.366,84.697,101.062
3.75,19.838,1.576,13.044,20.635, 2.180,13.044,15.462,85.069,100.531
3.76,19.930,1.484,13.072,20.799, 1.979,13.072,14.556,85.442,99.998
3.77,20.023,1.391,13.101,20.949, 1.768,13.101,13.648,85.815,99.464
3.78,20.116,1.299,13.129,21.083, 1.551,13.129,12.738,86.189,98.928
3.79,20.209,1.206,13.158,21.201, 1.329,13.158,11.827,86.564,98.390
3.80,20.302,1.112,13.186,21.302, 1.105,13.186,10.913,86.938,97.851
3.81,20.395,1.019,13.215,21.385, 0.880,13.215,9.997,87.313,97.311
3.82,20.489,0.926,13.243,21.452, 0.657,13.243,9.080,87.689,96.769
3.83,20.582,0.832,13.271,21.502, 0.438,13.271,8.160,88.065,96.225
3.84,20.676,0.738,13.300,21.535, 0.226,13.300,7.238,88.442,95.680
3.85,20.770,0.644,13.328,21.554, 0.022,13.328,6.315,88.818,95.133
3.86,20.865,0.549,13.356,21.559, -0.171,13.356,5.389,89.196,94.585
3.87,20.959,0.455,13.385,21.551, -0.351,13.385,4.462,89.573,94.035
3.88,21.054,0.360,13.413,21.533, -0.518,13.413,3.532,89.952,93.484
3.89,21.149,0.265,13.441,21.506, -0.669,13.441,2.601,90.330,92.931
3.90,21.244,0.170,13.469,21.473, -0.804,13.469,1.668,90.709,92.377
3.91,21.340,0.075,13.497,21.435, -0.921,13.497,0.732,91.088,91.821
3.92,21.435,-0.021,13.525,21.396, -1.020,13.525,0.205,91.468,91.673
