,,,,,,,,m,L,G,K,dT,T,,,,,,,,,,,,
Time,Alpha,Sx,Sy,Ep,Ek,Ec,,2kg,1m,-9.81,0.1,0.01s,4s,,,,,,,,,,,,
2.21,0.765,0.693,-0.721,5.469,0.838,6.306,,,,,,,,,,,,,,,,,,,
2.22,0.756,0.686,-0.728,5.345,0.966,6.31,,,,,,,,,,,,,,,,,,,
2.23,0.746,0.679,-0.734,5.213,1.101,6.315,,,,,,,,,,,,,,,,,,,
2.24,0.736,0.671,-0.741,5.074,1.244,6.319,,,,,,,,,,,,,,,,,,,
2.25,0.725,0.663,-0.749,4.928,1.394,6.323,,,,,,,,,,,,,,,,,,,
2.26,0.713,0.654,-0.757,4.776,1.551,6.326,,,,,,,,,,,,,,,,,,,
2.27,0.7,0.644,-0.765,4.617,1.713,6.33,,,,,,,,,,,,,,,,,,,
2.28,0.687,0.634,-0.773,4.453,1.881,6.334,,,,,,,,,,,,,,,,,,,
2.29,0.673,0.624,-0.782,4.284,2.053,6.337,,,,,,,,,,,,,,,,,,,
2.3,0.659,0.612,-0.791,4.11,2.23,6.34,,,,,,,,,,,,,,,,,,,
2.31,0.644,0.601,-0.8,3.932,2.411,6.343,,,,,,,,,,,,,,,,,,,
2.32,0.629,0.588,-0.809,3.751,2.595,6.346,,,,,,,,,,,,,,,,,,,
2.33,0.613,0.575,-0.818,3.567,2.781,6.349,,,,,,,,,,,,,,,,,,,
2.34,0.596,0.561,-0.828,3.382,2.97,6.351,,,,,,,,,,,,,,,,,,,
2.35,0.579,0.547,-0.837,3.194,3.159,6.354,,,,,,,,,,,,,,,,,,,
2.36,0.561,0.532,-0.847,3.006,3.35,6.356,,,,,,,,,,,,,,,,,,,
2.37,0.543,0.516,-0.856,2.818,3.54,6.358,,,,,,,,,,,,,,,,,,,
2.38,0.524,0.5,-0.866,2.63,3.73,6.36,,,,,,,,,,,,,,,,,,,
2.39,0.504,0.483,-0.875,2.444,3.918,6.362,,,,,,,,,,,,,,,,,,,
2.4,0.485,0.466,-0.885,2.26,4.104,6.363,,,,,,,,,,,,,,,,,,,
2.41,0.464,0.448,-0.894,2.078,4.287,6.365,,,,,,,,,,,,,,,,,,,
2.42,0.444,0.429,-0.903,1.9,4.466,6.366,,,,,,,,,,,,,,,,,,,
2.43,0.423,0.41,-0.912,1.726,4.641,6.367,,,,,,,,,,,,,,,,,,,
2.44,0.401,0.39,-0.921,1.557,4.812,6.368,,,,,,,,,,,,,,,,,,,
2.45,0.379,0.37,-0.929,1.393,4.976,6.369,,,,,,,,,,,,,,,,,,,
2.46,0.357,0.349,-0.937,1.236,5.134,6.37,,,,,,,,,,,,,,,,,,,
2.47,0.334,0.328,-0.945,1.085,5.286,6.371,,,,,,,,,,,,,,,,,,,
2.48,0.311,0.306,-0.952,0.942,5.429,6.371,,,,,,,,,,,,,,,,,,,
2.49,0.288,0.284,-0.959,0.807,5.565,6.372,,,,,,,,,,,,,,,,,,,
2.5,0.264,0.261,-0.965,0.681,5.691,6.372,,,,,,,,,,,,,,,,,,,
2.51,0.24,0.238,-0.971,0.564,5.808,6.372,,,,,,,,,,,,,,,,,,,
2.52,0.216,0.215,-0.977,0.457,5.916,6.373,,,,,,,,,,,,,,,,,,,
2.53,0.192,0.191,-0.982,0.36,6.012,6.373,,,,,,,,,,,,,,,,,,,
2.54,0.167,0.167,-0.986,0.274,6.098,6.373,,,,,,,,,,,,,,,,,,,
2.55,0.143,0.142,-0.99,0.2,6.173,6.373,,,,,,,,,,,,,,,,,,,
2.56,0.118,0.118,-0.993,0.136,6.237,6.373,,,,,,,,,,,,,,,,,,,
2.57,0.093,0.093,-0.996,0.085,6.288,6.373,,,,,,,,,,,,,,,,,,,
2.58,0.068,0.068,-0.998,0.045,6.328,6.373,,,,,,,,,,,,,,,,,,,
2.59,0.043,0.043,-0.999,0.018,6.355,6.373,,,,,,,,,,,,,,,,,,,
2.6,0.017,0.017,-1,0.003,6.37,6.373,,,,,,,,,,,,,,,,,,,
2.61,-0.008,-0.008,-1,0.001,6.372,6.372,,,,,,,,,,,,,,,,,,,
2.62,-0.033,-0.033,-0.999,0.011,6.362,6.372,,,,,,,,,,,,,,,,,,,
2.63,-0.058,-0.058,-0.998,0.033,6.339,6.372,,,,,,,,,,,,,,,,,,,
2.64,-0.083,-0.083,-0.997,0.068,6.304,6.372,,,,,,,,,,,,,,,,,,,
2.65,-0.108,-0.108,-0.994,0.115,6.257,6.372,,,,,,,,,,,,,,,,,,,
2.66,-0.134,-0.133,-0.991,0.175,6.197,6.372,,,,,,,,,,,,,,,,,,,
2.67,-0.158,-0.158,-0.987,0.246,6.126,6.372,,,,,,,,,,,,,,,,,,,
2.68,-0.183,-0.182,-0.983,0.328,6.044,6.372,,,,,,,,,,,,,,,,,,,
2.69,-0.208,-0.206,-0.978,0.422,5.95,6.372,,,,,,,,,,,,,,,,,,,
2.7,-0.232,-0.23,-0.973,0.526,5.846,6.373,,,,,,,,,,,,,,,,,,,
2.71,-0.256,-0.254,-0.967,0.641,5.732,6.373,,,,,,,,,,,,,,,,,,,
2.72,-0.28,-0.277,-0.961,0.765,5.608,6.373,,,,,,,,,,,,,,,,,,,
2.73,-0.304,-0.299,-0.954,0.899,5.474,6.374,,,,,,,,,,,,,,,,,,,
2.74,-0.327,-0.322,-0.947,1.042,5.332,6.374,,,,,,,,,,,,,,,,,,,
2.75,-0.35,-0.343,-0.939,1.192,5.183,6.375,,,,,,,,,,,,,,,,,,,
2.76,-0.373,-0.365,-0.931,1.35,5.025,6.376,,,,,,,,,,,,,,,,,,,
2.77,-0.396,-0.385,-0.923,1.515,4.861,6.377,,,,,,,,,,,,,,,,,,,
2.78,-0.418,-0.406,-0.914,1.686,4.691,6.378,,,,,,,,,,,,,,,,,,,
2.79,-0.439,-0.425,-0.905,1.863,4.516,6.379,,,,,,,,,,,,,,,,,,,
