,,,,,,,,m,L,G,K,dT,T,,,,,,,,,,,,
Time,Alpha,Sx,Sy,Ep,Ek,Ec,,2kg,1m,-9.81,0.1,0.01s,4s,,,,,,,,,,,,
1.58,0.066,0.066,-0.998,0.042,4.906,4.949,,,,,,,,,,,,,,,,,,,
1.59,0.088,0.088,-0.996,0.075,4.868,4.944,,,,,,,,,,,,,,,,,,,
1.6,0.11,0.109,-0.994,0.118,4.821,4.939,,,,,,,,,,,,,,,,,,,
1.61,0.132,0.131,-0.991,0.17,4.764,4.934,,,,,,,,,,,,,,,,,,,
1.62,0.153,0.153,-0.988,0.23,4.699,4.929,,,,,,,,,,,,,,,,,,,
1.63,0.175,0.174,-0.985,0.299,4.625,4.924,,,,,,,,,,,,,,,,,,,
1.64,0.196,0.195,-0.981,0.376,4.543,4.919,,,,,,,,,,,,,,,,,,,
1.65,0.217,0.215,-0.977,0.461,4.453,4.914,,,,,,,,,,,,,,,,,,,
1.66,0.238,0.236,-0.972,0.553,4.356,4.909,,,,,,,,,,,,,,,,,,,
1.67,0.259,0.256,-0.967,0.653,4.252,4.904,,,,,,,,,,,,,,,,,,,
1.68,0.279,0.275,-0.961,0.759,4.141,4.9,,,,,,,,,,,,,,,,,,,
1.69,0.299,0.295,-0.956,0.871,4.024,4.895,,,,,,,,,,,,,,,,,,,
1.7,0.319,0.314,-0.95,0.989,3.901,4.89,,,,,,,,,,,,,,,,,,,
1.71,0.338,0.332,-0.943,1.112,3.773,4.885,,,,,,,,,,,,,,,,,,,
1.72,0.357,0.35,-0.937,1.24,3.64,4.88,,,,,,,,,,,,,,,,,,,
1.73,0.376,0.367,-0.93,1.372,3.504,4.875,,,,,,,,,,,,,,,,,,,
1.74,0.394,0.384,-0.923,1.507,3.364,4.871,,,,,,,,,,,,,,,,,,,
1.75,0.412,0.401,-0.916,1.645,3.221,4.866,,,,,,,,,,,,,,,,,,,
1.76,0.43,0.417,-0.909,1.786,3.075,4.861,,,,,,,,,,,,,,,,,,,
1.77,0.447,0.432,-0.902,1.929,2.928,4.856,,,,,,,,,,,,,,,,,,,
1.78,0.464,0.447,-0.894,2.072,2.779,4.852,,,,,,,,,,,,,,,,,,,
1.79,0.48,0.462,-0.887,2.217,2.63,4.847,,,,,,,,,,,,,,,,,,,
1.8,0.496,0.476,-0.88,2.362,2.48,4.842,,,,,,,,,,,,,,,,,,,
1.81,0.511,0.489,-0.872,2.507,2.331,4.838,,,,,,,,,,,,,,,,,,,
1.82,0.526,0.502,-0.865,2.65,2.183,4.833,,,,,,,,,,,,,,,,,,,
1.83,0.54,0.514,-0.858,2.793,2.036,4.828,,,,,,,,,,,,,,,,,,,
1.84,0.554,0.526,-0.851,2.933,1.891,4.824,,,,,,,,,,,,,,,,,,,
1.85,0.567,0.537,-0.843,3.071,1.748,4.819,,,,,,,,,,,,,,,,,,,
1.86,0.58,0.548,-0.837,3.206,1.609,4.815,,,,,,,,,,,,,,,,,,,
1.87,0.592,0.558,-0.83,3.338,1.473,4.81,,,,,,,,,,,,,,,,,,,
1.88,0.603,0.568,-0.823,3.466,1.34,4.806,,,,,,,,,,,,,,,,,,,
1.89,0.614,0.577,-0.817,3.589,1.212,4.801,,,,,,,,,,,,,,,,,,,
1.9,0.625,0.585,-0.811,3.708,1.089,4.797,,,,,,,,,,,,,,,,,,,
1.91,0.635,0.593,-0.805,3.822,0.971,4.793,,,,,,,,,,,,,,,,,,,
1.92,0.644,0.6,-0.8,3.931,0.858,4.788,,,,,,,,,,,,,,,,,,,
1.93,0.653,0.607,-0.794,4.033,0.751,4.784,,,,,,,,,,,,,,,,,,,
1.94,0.661,0.614,-0.79,4.13,0.65,4.78,,,,,,,,,,,,,,,,,,,
1.95,0.668,0.62,-0.785,4.22,0.555,4.775,,,,,,,,,,,,,,,,,,,
1.96,0.675,0.625,-0.781,4.304,0.468,4.771,,,,,,,,,,,,,,,,,,,
1.97,0.681,0.63,-0.777,4.38,0.387,4.767,,,,,,,,,,,,,,,,,,,
1.98,0.687,0.634,-0.773,4.45,0.313,4.763,,,,,,,,,,,,,,,,,,,
1.99,0.692,0.638,-0.77,4.512,0.247,4.759,,,,,,,,,,,,,,,,,,,
2,0.696,0.641,-0.767,4.566,0.188,4.754,,,,,,,,,,,,,,,,,,,
2.01,0.7,0.644,-0.765,4.613,0.137,4.75,,,,,,,,,,,,,,,,,,,
2.02,0.703,0.647,-0.763,4.652,0.094,4.746,,,,,,,,,,,,,,,,,,,
2.03,0.705,0.648,-0.761,4.683,0.059,4.742,,,,,,,,,,,,,,,,,,,
2.04,0.707,0.65,-0.76,4.706,0.032,4.738,,,,,,,,,,,,,,,,,,,
2.05,0.708,0.651,-0.759,4.72,0.013,4.734,,,,,,,,,,,,,,,,,,,
2.06,0.709,0.651,-0.759,4.727,0.003,4.73,,,,,,,,,,,,,,,,,,,
2.07,0.709,0.651,-0.759,4.726,0,4.726,,,,,,,,,,,,,,,,,,,
2.08,0.708,0.65,-0.76,4.716,0.006,4.722,,,,,,,,,,,,,,,,,,,
2.09,0.707,0.649,-0.761,4.698,0.019,4.718,,,,,,,,,,,,,,,,,,,
2.1,0.705,0.648,-0.762,4.672,0.041,4.713,,,,,,,,,,,,,,,,,,,
2.11,0.702,0.646,-0.764,4.638,0.071,4.709,,,,,,,,,,,,,,,,,,,
2.12,0.699,0.643,-0.766,4.597,0.108,4.705,,,,,,,,,,,,,,,,,,,
2.13,0.695,0.64,-0.768,4.547,0.154,4.701,,,,,,,,,,,,,,,,,,,
2.14,0.69,0.637,-0.771,4.49,0.207,4.697,,,,,,,,,,,,,,,,,,,
2.15,0.685,0.633,-0.774,4.426,0.267,4.693,,,,,,,,,,,,,,,,,,,
2.16,0.679,0.628,-0.778,4.355,0.334,4.689,,,,,,,,,,,,,,,,,,,
2.17,0.673,0.623,-0.782,4.276,0.409,4.685,,,,,,,,,,,,,,,,,,,
2.18,0.666,0.618,-0.786,4.191,0.49,4.681,,,,,,,,,,,,,,,,,,,
2.19,0.658,0.612,-0.791,4.099,0.577,4.676,,,,,,,,,,,,,,,,,,,
2.2,0.65,0.605,-0.796,4.001,0.671,4.672,,,,,,,,,,,,,,,,,,,
2.21,0.641,0.598,-0.801,3.898,0.77,4.668,,,,,,,,,,,,,,,,,,,
2.22,0.632,0.591,-0.807,3.789,0.875,4.664,,,,,,,,,,,,,,,,,,,
2.23,0.622,0.583,-0.813,3.674,0.985,4.659,,,,,,,,,,,,,,,,,,,
2.24,0.611,0.574,-0.819,3.555,1.1,4.655,,,,,,,,,,,,,,,,,,,
2.25,0.6,0.565,-0.825,3.432,1.219,4.651,,,,,,,,,,,,,,,,,,,
2.26,0.589,0.555,-0.832,3.304,1.342,4.647,,,,,,,,,,,,,,,,,,,
2.27,0.577,0.545,-0.838,3.173,1.469,4.642,,,,,,,,,,,,,,,,,,,
2.28,0.564,0.535,-0.845,3.039,1.598,4.638,,,,,,,,,,,,,,,,,,,
2.29,0.551,0.523,-0.852,2.903,1.731,4.634,,,,,,,,,,,,,,,,,,,
2.3,0.537,0.512,-0.859,2.764,1.865,4.629,,,,,,,,,,,,,,,,,,,
2.31,0.523,0.5,-0.866,2.624,2.001,4.625,,,,,,,,,,,,,,,,,,,
2.32,0.508,0.487,-0.873,2.482,2.138,4.62,,,,,,,,,,,,,,,,,,,
2.33,0.493,0.474,-0.881,2.34,2.276,4.616,,,,,,,,,,,,,,,,,,,
2.34,0.478,0.46,-0.888,2.198,2.414,4.612,,,,,,,,,,,,,,,,,,,
2.35,0.462,0.446,-0.895,2.056,2.551,4.607,,,,,,,,,,,,,,,,,,,
2.36,0.445,0.431,-0.902,1.915,2.688,4.603,,,,,,,,,,,,,,,,,,,
2.37,0.429,0.416,-0.91,1.775,2.823,4.598,,,,,,,,,,,,,,,,,,,
2.38,0.411,0.4,-0.917,1.637,2.956,4.594,,,,,,,,,,,,,,,,,,,
2.39,0.394,0.384,-0.923,1.502,3.087,4.589,,,,,,,,,,,,,,,,,,,
2.4,0.376,0.367,-0.93,1.37,3.215,4.585,,,,,,,,,,,,,,,,,,,
2.41,0.358,0.35,-0.937,1.241,3.339,4.58,,,,,,,,,,,,,,,,,,,
2.42,0.339,0.333,-0.943,1.117,3.459,4.576,,,,,,,,,,,,,,,,,,,
2.43,0.32,0.315,-0.949,0.997,3.574,4.571,,,,,,,,,,,,,,,,,,,
2.44,0.301,0.296,-0.955,0.882,3.685,4.567,,,,,,,,,,,,,,,,,,,
2.45,0.281,0.278,-0.961,0.772,3.79,4.562,,,,,,,,,,,,,,,,,,,
2.46,0.262,0.259,-0.966,0.668,3.889,4.558,,,,,,,,,,,,,,,,,,,
2.47,0.242,0.239,-0.971,0.571,3.982,4.553,,,,,,,,,,,,,,,,,,,
2.48,0.222,0.22,-0.976,0.48,4.069,4.548,,,,,,,,,,,,,,,,,,,
2.49,0.201,0.2,-0.98,0.396,4.148,4.544,,,,,,,,,,,,,,,,,,,
2.5,0.181,0.18,-0.984,0.319,4.22,4.539,,,,,,,,,,,,,,,,,,,
2.51,0.16,0.159,-0.987,0.25,4.285,4.535,,,,,,,,,,,,,,,,,,,
2.52,0.139,0.139,-0.99,0.189,4.341,4.53,,,,,,,,,,,,,,,,,,,
2.53,0.118,0.118,-0.993,0.137,4.389,4.526,,,,,,,,,,,,,,,,,,,
2.54,0.097,0.097,-0.995,0.092,4.429,4.521,,,,,,,,,,,,,,,,,,,
2.55,0.076,0.076,-0.997,0.057,4.46,4.517,,,,,,,,,,,,,,,,,,,
2.56,0.055,0.055,-0.999,0.029,4.483,4.512,,,,,,,,,,,,,,,,,,,
2.57,0.034,0.034,-0.999,0.011,4.497,4.508,,,,,,,,,,,,,,,,,,,
2.58,0.012,0.012,-1,0.001,4.502,4.503,,,,,,,,,,,,,,,,,,,
2.59,-0.009,-0.009,-1,0.001,4.498,4.499,,,,,,,,,,,,,,,,,,,
2.6,-0.03,-0.03,-1,0.009,4.485,4.494,,,,,,,,,,,,,,,,,,,
2.61,-0.051,-0.051,-0.999,0.026,4.464,4.49,,,,,,,,,,,,,,,,,,,
2.62,-0.072,-0.072,-0.997,0.051,4.434,4.485,,,,,,,,,,,,,,,,,,,
2.63,-0.093,-0.093,-0.996,0.085,4.395,4.481,,,,,,,,,,,,,,,,,,,
2.64,-0.114,-0.114,-0.993,0.128,4.349,4.476,,,,,,,,,,,,,,,,,,,
2.65,-0.135,-0.134,-0.991,0.178,4.294,4.472,,,,,,,,,,,,,,,,,,,
2.66,-0.155,-0.155,-0.988,0.237,4.231,4.467,,,,,,,,,,,,,,,,,,,
2.67,-0.176,-0.175,-0.985,0.303,4.16,4.463,,,,,,,,,,,,,,,,,,,
2.68,-0.196,-0.195,-0.981,0.376,4.083,4.458,,,,,,,,,,,,,,,,,,,
2.69,-0.216,-0.214,-0.977,0.456,3.998,4.454,,,,,,,,,,,,,,,,,,,
2.7,-0.236,-0.234,-0.972,0.543,3.906,4.45,,,,,,,,,,,,,,,,,,,
2.71,-0.255,-0.253,-0.968,0.636,3.809,4.445,,,,,,,,,,,,,,,,,,,
2.72,-0.275,-0.271,-0.963,0.735,3.705,4.441,,,,,,,,,,,,,,,,,,,
2.73,-0.294,-0.289,-0.957,0.84,3.597,4.436,,,,,,,,,,,,,,,,,,,
2.74,-0.312,-0.307,-0.952,0.949,3.483,4.432,,,,,,,,,,,,,,,,,,,
2.75,-0.331,-0.325,-0.946,1.063,3.365,4.428,,,,,,,,,,,,,,,,,,,
2.76,-0.349,-0.342,-0.94,1.18,3.243,4.423,,,,,,,,,,,,,,,,,,,
2.77,-0.366,-0.358,-0.934,1.302,3.117,4.419,,,,,,,,,,,,,,,,,,,
2.78,-0.384,-0.374,-0.927,1.426,2.988,4.414,,,,,,,,,,,,,,,,,,,
2.79,-0.401,-0.39,-0.921,1.553,2.857,4.41,,,,,,,,,,,,,,,,,,,
2.8,-0.417,-0.405,-0.914,1.682,2.724,4.406,,,,,,,,,,,,,,,,,,,
2.81,-0.433,-0.42,-0.908,1.812,2.59,4.402,,,,,,,,,,,,,,,,,,,
2.82,-0.449,-0.434,-0.901,1.943,2.454,4.397,,,,,,,,,,,,,,,,,,,
2.83,-0.464,-0.448,-0.894,2.075,2.318,4.393,,,,,,,,,,,,,,,,,,,
2.84,-0.479,-0.461,-0.888,2.206,2.182,4.389,,,,,,,,,,,,,,,,,,,
2.85,-0.493,-0.473,-0.881,2.338,2.047,4.385,,,,,,,,,,,,,,,,,,,
2.86,-0.507,-0.486,-0.874,2.468,1.913,4.38,,,,,,,,,,,,,,,,,,,
2.87,-0.52,-0.497,-0.868,2.596,1.78,4.376,,,,,,,,,,,,,,,,,,,
2.88,-0.533,-0.508,-0.861,2.723,1.649,4.372,,,,,,,,,,,,,,,,,,,
2.89,-0.545,-0.519,-0.855,2.847,1.52,4.368,,,,,,,,,,,,,,,,,,,
2.9,-0.557,-0.529,-0.849,2.969,1.395,4.364,,,,,,,,,,,,,,,,,,,
2.91,-0.569,-0.538,-0.843,3.087,1.273,4.36,,,,,,,,,,,,,,,,,,,
2.92,-0.579,-0.547,-0.837,3.202,1.154,4.356,,,,,,,,,,,,,,,,,,,
2.93,-0.59,-0.556,-0.831,3.312,1.04,4.352,,,,,,,,,,,,,,,,,,,
2.94,-0.599,-0.564,-0.826,3.418,0.93,4.348,,,,,,,,,,,,,,,,,,,
2.95,-0.608,-0.571,-0.821,3.519,0.825,4.344,,,,,,,,,,,,,,,,,,,
2.96,-0.617,-0.578,-0.816,3.615,0.725,4.34,,,,,,,,,,,,,,,,,,,
2.97,-0.625,-0.585,-0.811,3.706,0.63,4.336,,,,,,,,,,,,,,,,,,,
2.98,-0.632,-0.591,-0.807,3.791,0.541,4.332,,,,,,,,,,,,,,,,,,,
2.99,-0.639,-0.596,-0.803,3.87,0.458,4.328,,,,,,,,,,,,,,,,,,,
3,-0.645,-0.601,-0.799,3.942,0.382,4.324,,,,,,,,,,,,,,,,,,,
3.01,-0.651,-0.606,-0.796,4.008,0.312,4.32,,,,,,,,,,,,,,,,,,,
3.02,-0.656,-0.61,-0.793,4.068,0.249,4.316,,,,,,,,,,,,,,,,,,,
3.03,-0.66,-0.613,-0.79,4.12,0.192,4.313,,,,,,,,,,,,,,,,,,,
3.04,-0.664,-0.616,-0.788,4.166,0.143,4.309,,,,,,,,,,,,,,,,,,,
3.05,-0.667,-0.619,-0.786,4.204,0.101,4.305,,,,,,,,,,,,,,,,,,,
3.06,-0.67,-0.621,-0.784,4.236,0.066,4.301,,,,,,,,,,,,,,,,,,,
3.07,-0.671,-0.622,-0.783,4.259,0.038,4.297,,,,,,,,,,,,,,,,,,,
3.08,-0.673,-0.623,-0.782,4.276,0.018,4.294,,,,,,,,,,,,,,,,,,,
3.09,-0.674,-0.624,-0.782,4.285,0.005,4.29,,,,,,,,,,,,,,,,,,,
3.1,-0.674,-0.624,-0.782,4.286,0,4.286,,,,,,,,,,,,,,,,,,,
3.11,-0.673,-0.623,-0.782,4.28,0.002,4.282,,,,,,,,,,,,,,,,,,,
3.12,-0.672,-0.623,-0.783,4.266,0.012,4.279,,,,,,,,,,,,,,,,,,,
3.13,-0.67,-0.621,-0.784,4.245,0.029,4.275,,,,,,,,,,,,,,,,,,,
3.14,-0.668,-0.619,-0.785,4.217,0.054,4.271,,,,,,,,,,,,,,,,,,,
3.15,-0.665,-0.617,-0.787,4.182,0.086,4.267,,,,,,,,,,,,,,,,,,,
3.16,-0.662,-0.614,-0.789,4.139,0.125,4.264,,,,,,,,,,,,,,,,,,,
3.17,-0.657,-0.611,-0.792,4.089,0.171,4.26,,,,,,,,,,,,,,,,,,,
3.18,-0.653,-0.607,-0.794,4.033,0.223,4.256,,,,,,,,,,,,,,,,,,,
3.19,-0.647,-0.603,-0.798,3.969,0.283,4.252,,,,,,,,,,,,,,,,,,,
3.2,-0.641,-0.598,-0.801,3.9,0.349,4.249,,,,,,,,,,,,,,,,,,,
3.21,-0.635,-0.593,-0.805,3.824,0.421,4.245,,,,,,,,,,,,,,,,,,,
3.22,-0.628,-0.587,-0.809,3.742,0.499,4.241,,,,,,,,,,,,,,,,,,,
3.23,-0.62,-0.581,-0.814,3.655,0.582,4.237,,,,,,,,,,,,,,,,,,,
3.24,-0.612,-0.575,-0.818,3.562,0.672,4.233,,,,,,,,,,,,,,,,,,,
3.25,-0.603,-0.567,-0.823,3.464,0.766,4.229,,,,,,,,,,,,,,,,,,,
3.26,-0.594,-0.56,-0.829,3.361,0.865,4.226,,,,,,,,,,,,,,,,,,,
3.27,-0.584,-0.551,-0.834,3.253,0.968,4.222,,,,,,,,,,,,,,,,,,,
3.28,-0.574,-0.543,-0.84,3.142,1.076,4.218,,,,,,,,,,,,,,,,,,,
3.29,-0.563,-0.534,-0.846,3.027,1.187,4.214,,,,,,,,,,,,,,,,,,,
3.3,-0.551,-0.524,-0.852,2.909,1.301,4.21,,,,,,,,,,,,,,,,,,,
3.31,-0.54,-0.514,-0.858,2.787,1.419,4.206,,,,,,,,,,,,,,,,,,,
3.32,-0.527,-0.503,-0.864,2.663,1.539,4.202,,,,,,,,,,,,,,,,,,,
3.33,-0.514,-0.492,-0.871,2.538,1.66,4.198,,,,,,,,,,,,,,,,,,,
3.34,-0.501,-0.48,-0.877,2.41,1.784,4.194,,,,,,,,,,,,,,,,,,,
3.35,-0.487,-0.468,-0.884,2.282,1.908,4.19,,,,,,,,,,,,,,,,,,,
3.36,-0.473,-0.455,-0.89,2.152,2.034,4.186,,,,,,,,,,,,,,,,,,,
3.37,-0.458,-0.442,-0.897,2.023,2.159,4.182,,,,,,,,,,,,,,,,,,,
3.38,-0.443,-0.429,-0.903,1.894,2.284,4.178,,,,,,,,,,,,,,,,,,,
3.39,-0.427,-0.415,-0.91,1.765,2.408,4.174,,,,,,,,,,,,,,,,,,,
3.4,-0.412,-0.4,-0.917,1.638,2.532,4.17,,,,,,,,,,,,,,,,,,,
3.41,-0.395,-0.385,-0.923,1.513,2.653,4.166,,,,,,,,,,,,,,,,,,,
3.42,-0.379,-0.37,-0.929,1.389,2.772,4.162,,,,,,,,,,,,,,,,,,,
3.43,-0.362,-0.354,-0.935,1.269,2.889,4.158,,,,,,,,,,,,,,,,,,,
3.44,-0.344,-0.337,-0.941,1.151,3.002,4.153,,,,,,,,,,,,,,,,,,,
3.45,-0.327,-0.321,-0.947,1.037,3.112,4.149,,,,,,,,,,,,,,,,,,,
3.46,-0.309,-0.304,-0.953,0.927,3.218,4.145,,,,,,,,,,,,,,,,,,,
3.47,-0.29,-0.286,-0.958,0.822,3.319,4.141,,,,,,,,,,,,,,,,,,,
3.48,-0.272,-0.269,-0.963,0.721,3.416,4.137,,,,,,,,,,,,,,,,,,,
3.49,-0.253,-0.25,-0.968,0.626,3.507,4.133,,,,,,,,,,,,,,,,,,,
3.5,-0.234,-0.232,-0.973,0.536,3.593,4.129,,,,,,,,,,,,,,,,,,,
3.51,-0.215,-0.213,-0.977,0.452,3.673,4.125,,,,,,,,,,,,,,,,,,,
3.52,-0.196,-0.194,-0.981,0.374,3.746,4.121,,,,,,,,,,,,,,,,,,,
3.53,-0.176,-0.175,-0.985,0.304,3.813,4.116,,,,,,,,,,,,,,,,,,,
3.54,-0.156,-0.156,-0.988,0.24,3.873,4.112,,,,,,,,,,,,,,,,,,,
3.55,-0.137,-0.136,-0.991,0.183,3.925,4.108,,,,,,,,,,,,,,,,,,,
3.56,-0.117,-0.116,-0.993,0.133,3.971,4.104,,,,,,,,,,,,,,,,,,,
3.57,-0.097,-0.097,-0.995,0.092,4.008,4.1,,,,,,,,,,,,,,,,,,,
3.58,-0.077,-0.077,-0.997,0.057,4.038,4.096,,,,,,,,,,,,,,,,,,,
3.59,-0.056,-0.056,-0.998,0.031,4.061,4.092,,,,,,,,,,,,,,,,,,,
3.6,-0.036,-0.036,-0.999,0.013,4.075,4.088,,,,,,,,,,,,,,,,,,,
3.61,-0.016,-0.016,-1,0.003,4.081,4.084,,,,,,,,,,,,,,,,,,,
3.62,0.004,0.004,-1,0,4.079,4.08,,,,,,,,,,,,,,,,,,,
3.63,0.024,0.024,-1,0.006,4.07,4.076,,,,,,,,,,,,,,,,,,,
3.64,0.045,0.045,-0.999,0.019,4.052,4.071,,,,,,,,,,,,,,,,,,,
3.65,0.065,0.065,-0.998,0.041,4.026,4.067,,,,,,,,,,,,,,,,,,,
3.66,0.085,0.084,-0.996,0.07,3.993,4.063,,,,,,,,,,,,,,,,,,,
3.67,0.104,0.104,-0.995,0.107,3.952,4.059,,,,,,,,,,,,,,,,,,,
3.68,0.124,0.124,-0.992,0.151,3.904,4.055,,,,,,,,,,,,,,,,,,,
3.69,0.144,0.143,-0.99,0.203,3.848,4.051,,,,,,,,,,,,,,,,,,,
3.7,0.163,0.163,-0.987,0.261,3.786,4.047,,,,,,,,,,,,,,,,,,,
3.71,0.183,0.182,-0.983,0.326,3.717,4.043,,,,,,,,,,,,,,,,,,,
3.72,0.202,0.2,-0.98,0.398,3.641,4.039,,,,,,,,,,,,,,,,,,,
3.73,0.221,0.219,-0.976,0.475,3.56,4.035,,,,,,,,,,,,,,,,,,,
3.74,0.239,0.237,-0.972,0.559,3.472,4.031,,,,,,,,,,,,,,,,,,,
3.75,0.258,0.255,-0.967,0.648,3.379,4.027,,,,,,,,,,,,,,,,,,,
3.76,0.276,0.272,-0.962,0.741,3.282,4.023,,,,,,,,,,,,,,,,,,,
3.77,0.294,0.289,-0.957,0.84,3.179,4.019,,,,,,,,,,,,,,,,,,,
3.78,0.311,0.306,-0.952,0.942,3.073,4.015,,,,,,,,,,,,,,,,,,,
3.79,0.328,0.322,-0.947,1.048,2.963,4.011,,,,,,,,,,,,,,,,,,,
3.8,0.345,0.338,-0.941,1.158,2.849,4.007,,,,,,,,,,,,,,,,,,,
3.81,0.362,0.354,-0.935,1.27,2.733,4.003,,,,,,,,,,,,,,,,,,,
3.82,0.378,0.369,-0.929,1.385,2.614,3.999,,,,,,,,,,,,,,,,,,,
3.83,0.394,0.384,-0.923,1.501,2.494,3.995,,,,,,,,,,,,,,,,,,,
3.84,0.409,0.398,-0.917,1.62,2.372,3.991,,,,,,,,,,,,,,,,,,,
3.85,0.424,0.412,-0.911,1.739,2.249,3.987,,,,,,,,,,,,,,,,,,,
3.86,0.439,0.425,-0.905,1.858,2.125,3.984,,,,,,,,,,,,,,,,,,,
3.87,0.453,0.438,-0.899,1.978,2.002,3.98,,,,,,,,,,,,,,,,,,,
3.88,0.467,0.45,-0.893,2.097,1.878,3.976,,,,,,,,,,,,,,,,,,,
3.89,0.48,0.462,-0.887,2.216,1.756,3.972,,,,,,,,,,,,,,,,,,,
3.9,0.493,0.473,-0.881,2.333,1.635,3.968,,,,,,,,,,,,,,,,,,,
3.91,0.505,0.484,-0.875,2.449,1.516,3.965,,,,,,,,,,,,,,,,,,,
3.92,0.517,0.494,-0.869,2.562,1.398,3.961,,,,,,,,,,,,,,,,,,,
3.93,0.528,0.504,-0.864,2.673,1.284,3.957,,,,,,,,,,,,,,,,,,,
3.94,0.539,0.513,-0.858,2.781,1.172,3.953,,,,,,,,,,,,,,,,,,,
3.95,0.549,0.522,-0.853,2.886,1.063,3.95,,,,,,,,,,,,,,,,,,,
3.96,0.559,0.53,-0.848,2.987,0.959,3.946,,,,,,,,,,,,,,,,,,,
3.97,0.568,0.538,-0.843,3.085,0.858,3.942,,,,,,,,,,,,,,,,,,,
3.98,0.577,0.546,-0.838,3.177,0.761,3.939,,,,,,,,,,,,,,,,,,,
3.99,0.585,0.552,-0.834,3.265,0.67,3.935,,,,,,,,,,,,,,,,,,,
4,0.593,0.559,-0.829,3.349,0.583,3.931,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,m,L,G,K,dT,T,,,,,,,,,,,,
Time,Alpha,Sx,Sy,Ep,Ek,Ec,,2kg,1m,-9.81,0.1,0.01s,4s,,,,,,,,,,,,
0,0.785,0.707,-0.707,5.742,0.005,5.747,,,,,,,,,,,,,,,,,,,
0.01,0.784,0.706,-0.708,5.727,0.019,5.747,,,,,,,,,,,,,,,,,,,
0.02,0.782,0.705,-0.709,5.703,0.043,5.747,,,,,,,,,,,,,,,,,,,
0.03,0.78,0.703,-0.711,5.67,0.077,5.746,,,,,,,,,,,,,,,,,,,
0.04,0.777,0.701,-0.713,5.627,0.119,5.746,,,,,,,,,,,,,,,,,,,
0.05,0.773,0.698,-0.716,5.575,0.171,5.746,,,,,,,,,,,,,,,,,,,
0.06,0.768,0.695,-0.719,5.514,0.232,5.746,,,,,,,,,,,,,,,,,,,
0.07,0.763,0.691,-0.723,5.444,0.302,5.746,,,,,,,,,,,,,,,,,,,
0.08,0.757,0.687,-0.727,5.365,0.381,5.745,,,,,,,,,,,,,,,,,,,
0.09,0.751,0.682,-0.731,5.277,0.468,5.745,,,,,,,,,,,,,,,,,,,
0.1,0.744,0.677,-0.736,5.182,0.563,5.744,,,,,,,,,,,,,,,,,,,
0.11,0.736,0.671,-0.741,5.078,0.666,5.744,,,,,,,,,,,,,,,,,,,
0.12,0.727,0.665,-0.747,4.967,0.776,5.743,,,,,,,,,,,,,,,,,,,
0.13,0.718,0.658,-0.753,4.848,0.894,5.742,,,,,,,,,,,,,,,,,,,
0.14,0.709,0.651,-0.759,4.723,1.019,5.741,,,,,,,,,,,,,,,,,,,
0.15,0.698,0.643,-0.766,4.591,1.15,5.74,,,,,,,,,,,,,,,,,,,
0.16,0.687,0.634,-0.773,4.452,1.287,5.739,,,,,,,,,,,,,,,,,,,
0.17,0.675,0.625,-0.78,4.308,1.429,5.738,,,,,,,,,,,,,,,,,,,
0.18,0.663,0.616,-0.788,4.159,1.577,5.736,,,,,,,,,,,,,,,,,,,
0.19,0.65,0.605,-0.796,4.005,1.729,5.735,,,,,,,,,,,,,,,,,,,
0.2,0.637,0.595,-0.804,3.847,1.886,5.733,,,,,,,,,,,,,,,,,,,
0.21,0.623,0.583,-0.812,3.685,2.046,5.731,,,,,,,,,,,,,,,,,,,
0.22,0.608,0.571,-0.821,3.52,2.209,5.729,,,,,,,,,,,,,,,,,,,
0.23,0.593,0.559,-0.829,3.352,2.374,5.726,,,,,,,,,,,,,,,,,,,
0.24,0.578,0.546,-0.838,3.182,2.542,5.724,,,,,,,,,,,,,,,,,,,
0.25,0.561,0.532,-0.847,3.011,2.711,5.721,,,,,,,,,,,,,,,,,,,
0.26,0.545,0.518,-0.855,2.838,2.88,5.718,,,,,,,,,,,,,,,,,,,
0.27,0.527,0.503,-0.864,2.666,3.05,5.716,,,,,,,,,,,,,,,,,,,
0.28,0.51,0.488,-0.873,2.494,3.219,5.712,,,,,,,,,,,,,,,,,,,
0.29,0.491,0.472,-0.882,2.322,3.387,5.709,,,,,,,,,,,,,,,,,,,
0.3,0.473,0.455,-0.89,2.153,3.553,5.706,,,,,,,,,,,,,,,,,,,
0.31,0.454,0.438,-0.899,1.986,3.716,5.702,,,,,,,,,,,,,,,,,,,
0.32,0.434,0.421,-0.907,1.822,3.877,5.698,,,,,,,,,,,,,,,,,,,
0.33,0.414,0.403,-0.915,1.661,4.033,5.694,,,,,,,,,,,,,,,,,,,
0.34,0.394,0.384,-0.923,1.504,4.186,5.69,,,,,,,,,,,,,,,,,,,
0.35,0.374,0.365,-0.931,1.353,4.333,5.686,,,,,,,,,,,,,,,,,,,
0.36,0.353,0.345,-0.939,1.207,4.475,5.681,,,,,,,,,,,,,,,,,,,
0.37,0.331,0.325,-0.946,1.066,4.61,5.677,,,,,,,,,,,,,,,,,,,
0.38,0.31,0.305,-0.952,0.933,4.739,5.672,,,,,,,,,,,,,,,,,,,
0.39,0.288,0.284,-0.959,0.806,4.861,5.667,,,,,,,,,,,,,,,,,,,
